iter	Passed	Remaining
1286	57314	31752
1287	57353	31704
1288	57391	31656
1289	57430	31608
1290	57467	31560
1291	57507	31513
1292	57549	31467
1293	57595	31423
1294	57648	31384
1295	57693	31339
1296	57736	31294
1297	57777	31248
1298	57815	31200
1299	57866	31158
1300	57913	31115
1301	57955	31069
1302	57994	31022
1303	58031	30973
1304	58070	30926
1305	58114	30881
1306	58156	30836
1307	58195	30788
1308	58234	30741
1309	58276	30695
1310	58312	30646
1311	58348	30597
1312	58386	30549
1313	58426	30502
1314	58466	30455
1315	58507	30409
1316	58544	30361
1317	58583	30313
1318	58621	30266
1319	58659	30218
1320	58700	30172
1321	58750	30130
1322	58795	30086
1323	58833	30038
1324	58876	29993
1325	58919	29948
1326	58964	29904
1327	59015	29863
1328	59066	29822
1329	59112	29778
1330	59149	29730
1331	59190	29684
1332	59227	29635
1333	59264	29588
1334	59302	29540
1335	59339	29492
1336	59378	29444
1337	59416	29397
1338	59457	29351
1339	59498	29305
1340	59534	29256
1341	59574	29210
1342	59612	29162
1343	59648	29113
1344	59686	29066
1345	59724	29019
1346	59762	28971
1347	59802	28925
1348	59850	28882
1349	59899	28840
1350	59943	28796
1351	59983	28749
1352	60020	28701
1353	60061	28655
1354	60115	28615
1355	60164	28573
1356	60207	28528
1357	60247	28482
1358	60283	28434
1359	60322	28387
1360	60363	28341
1361	60402	28294
1362	60442	28247
1363	60479	28200
1364	60520	28154
1365	60557	28106
1366	60600	28061
1367	60639	28014
1368	60681	27969
1369	60721	27923
1370	60759	27875
1371	60801	27830
1372	60841	27784
1373	60880	27737
1374	60922	27692
1375	60970	27649
1376	61016	27605
1377	61060	27561
1378	61103	27516
1379	61140	27469
1380	61179	27422
1381	61251	27390
1382	61307	27351
1383	61352	27307
1384	61389	27259
1385	61429	27213
1386	61466	27165
1387	61503	27118
1388	61542	27071
1389	61584	27026
1390	61620	26978
1391	61661	26932
1392	61702	26887
1393	61742	26840
1394	61784	26795
1395	61826	26750
1396	61870	26705
1397	61907	26658
1398	61945	26611
1399	61985	26565
1400	62024	26518
1401	62076	26477
1402	62125	26435
1403	62170	26391
1404	62210	26345
1405	62249	26299
1406	62287	26251
1407	62334	26208
1408	62385	26167
1409	62430	26123
1410	62472	26078
1411	62512	26032
1412	62553	25986
1413	62593	25940
1414	62634	25894
1415	62675	25849
1416	62715	25803
1417	62756	25757
1418	62794	25710
1419	62837	25665
1420	62877	25620
1421	62917	25573
1422	62953	25526
1423	62991	25479
1424	63029	25433
1425	63073	25388
1426	63111	25341
1427	63148	25294
1428	63198	25252
1429	63247	25210
1430	63291	25166
1431	63333	25121
1432	63373	25075
1433	63412	25029
1434	63465	24988
1435	63512	24945
1436	63557	24901
